subj_idx,response,rt_Org,rt,group
36,0,2362,2.362,11
36,0,0,0,40
36,0,1770,1.77,11
36,1,1667,1.667,11
36,1,2107,2.107,11
36,0,2675,2.675,11
36,1,2021,2.021,11
36,1,1668,1.668,11
36,0,0,0,50
36,1,1575,1.575,22
36,1,2624,2.624,22
36,1,1449,1.449,22
36,1,1561,1.561,22
36,0,0,0,22
36,1,114,0.114,22
36,0,0,0,40
36,0,1892,1.892,11
36,1,2188,2.188,11
36,0,1749,1.749,11
36,0,2102,2.102,11
36,1,1662,1.662,11
36,1,2679,2.679,11
36,0,0,0,40
36,1,1944,1.944,11
36,1,1440,1.44,11
36,0,1857,1.857,11
36,1,1833,1.833,11
36,1,2242,2.242,11
36,1,2483,2.483,11
36,0,0,0,50
36,0,1011,1.011,22
36,1,1180,1.18,22
36,0,0,0,22
36,1,1484,1.484,22
36,0,0,0,22
36,0,821,0.821,22
36,0,0,0,50
36,1,2166,2.166,22
36,0,1438,1.438,22
36,1,1630,1.63,22
36,1,1247,1.247,22
36,1,1199,1.199,22
36,1,871,0.871,22
36,0,0,0,50
36,1,1120,1.12,22
36,1,1328,1.328,22
36,1,1608,1.608,22
36,0,0,0,22
36,1,4193,4.193,22
36,1,1370,1.37,22
36,0,0,0,40
36,0,1978,1.978,11
36,1,1922,1.922,11
36,1,2034,2.034,11
36,1,2386,2.386,11
36,1,2003,2.003,11
36,1,2427,2.427,11
36,0,0,0,50
36,1,2356,2.356,22
36,1,1956,1.956,22
36,1,1284,1.284,22
36,1,1613,1.613,22
36,1,1245,1.245,22
36,1,1253,1.253,22
38,0,0,0,40
38,1,3670,3.67,11
38,1,3126,3.126,11
38,1,4287,4.287,11
38,1,4327,4.327,11
38,1,1703,1.703,11
38,0,328,0.328,11
38,0,0,0,50
38,1,1584,1.584,22
38,1,1401,1.401,22
38,0,0,0,22
38,0,2761,2.761,22
38,0,2929,2.929,22
38,0,1450,1.45,22
38,0,0,0,50
38,0,1146,1.146,22
38,1,1106,1.106,22
38,1,1026,1.026,22
38,1,2755,2.755,22
38,1,1075,1.075,22
38,1,1035,1.035,22
38,0,0,0,50
38,1,2276,2.276,22
38,0,972,0.972,22
38,1,1629,1.629,22
38,1,845,0.845,22
38,1,1685,1.685,22
38,1,1710,1.71,22
38,0,0,0,40
38,1,4145,4.145,11
38,1,3418,3.418,11
38,1,3035,3.035,11
38,0,4603,4.603,11
38,1,2044,2.044,11
38,0,3724,3.724,11
38,0,0,0,50
38,0,2542,2.542,22
38,0,0,0,22
38,1,1775,1.775,22
38,1,920,0.92,22
38,0,0,0,22
38,1,1296,1.296,22
38,0,0,0,40
38,1,2649,2.649,11
38,0,2154,2.154,11
38,0,1675,1.675,11
38,0,0,0,11
38,0,300,0.3,11
38,1,3197,3.197,11
38,0,0,0,50
38,1,1373,1.373,22
38,1,1285,1.285,22
38,0,150,0.15,22
38,0,0,0,22
38,1,1519,1.519,22
38,1,1711,1.711,22
38,0,0,0,40
38,1,4816,4.816,11
38,1,64,0.064,11
38,0,2432,2.432,11
38,1,2728,2.728,11
38,1,2825,2.825,11
38,1,1777,1.777,11
38,0,0,0,40
38,1,2994,2.994,11
38,1,1442,1.442,11
38,0,2042,2.042,11
38,1,1914,1.914,11
38,1,2554,2.554,11
38,0,2851,2.851,11
40,0,0,0,40
40,1,3096,3.096,11
40,0,1672,1.672,11
40,0,3024,3.024,11
40,1,2940,2.94,11
40,0,2484,2.484,11
40,0,3949,3.949,11
40,0,3278,3.278,50
40,1,1438,1.438,22
40,0,943,0.943,22
40,1,1135,1.135,22
40,1,1736,1.736,22
40,1,777,0.777,22
40,1,1145,1.145,22
40,0,2610,2.61,40
40,1,3627,3.627,11
40,0,2579,2.579,11
40,0,2372,2.372,11
40,1,2252,2.252,11
40,1,4389,4.389,11
40,1,3998,3.998,11
40,0,3598,3.598,50
40,1,1007,1.007,22
40,0,0,0,22
40,1,864,0.864,22
40,1,1720,1.72,22
40,0,0,0,22
40,1,4560,4.56,22
40,0,2649,2.649,40
40,0,0,0,11
40,1,25,0.025,11
40,1,4490,4.49,11
40,1,4770,4.77,11
40,0,0,0,11
40,1,1930,1.93,11
40,0,1099,1.099,50
40,1,1179,1.179,22
40,0,1100,1.1,22
40,0,0,0,22
40,1,1260,1.26,22
40,0,0,0,22
40,1,1141,1.141,22
40,0,1669,1.669,50
40,1,1173,1.173,22
40,1,1278,1.278,22
40,1,1734,1.734,22
40,0,0,0,22
40,1,2007,2.007,22
40,0,0,0,22
40,0,1415,1.415,40
40,1,3239,3.239,11
40,1,4471,4.471,11
40,1,3224,3.224,11
40,1,2463,2.463,11
40,0,0,0,11
40,1,3504,3.504,11
40,0,1128,1.128,40
40,1,1904,1.904,11
40,1,2241,2.241,11
40,0,3164,3.164,11
40,1,3677,3.677,11
40,0,0,0,11
40,1,3662,3.662,11
40,0,1030,1.03,50
40,0,1311,1.311,22
40,1,2344,2.344,22
40,1,1744,1.744,22
40,1,1793,1.793,22
40,1,1658,1.658,22
40,1,1954,1.954,22
42,0,0,0,50
42,1,1180,1.18,22
42,1,940,0.94,22
42,1,1453,1.453,22
42,1,1109,1.109,22
42,1,1117,1.117,22
42,0,1142,1.142,22
42,0,0,0,40
42,1,1974,1.974,11
42,1,1390,1.39,11
42,1,2422,2.422,11
42,1,2143,2.143,11
42,1,1559,1.559,11
42,0,3367,3.367,11
42,0,0,0,50
42,1,872,0.872,22
42,1,3968,3.968,22
42,1,1161,1.161,22
42,1,1497,1.497,22
42,1,4201,4.201,22
42,1,2665,2.665,22
42,0,0,0,40
42,1,1418,1.418,11
42,0,3546,3.546,11
42,0,1739,1.739,11
42,1,1891,1.891,11
42,1,2195,2.195,11
42,1,2524,2.524,11
42,0,0,0,40
42,1,1844,1.844,11
42,1,2053,2.053,11
42,1,2245,2.245,11
42,1,1589,1.589,11
42,1,2446,2.446,11
42,0,1662,1.662,11
42,0,0,0,50
42,1,1353,1.353,22
42,0,953,0.953,22
42,1,1338,1.338,22
42,1,1115,1.115,22
42,1,1371,1.371,22
42,1,1260,1.26,22
42,0,0,0,40
42,1,2893,2.893,11
42,1,1574,1.574,11
42,1,3414,3.414,11
42,0,3551,3.551,11
42,1,3024,3.024,11
42,1,2496,2.496,11
42,0,0,0,50
42,1,1370,1.37,22
42,1,1274,1.274,22
42,1,4051,4.051,22
42,1,684,0.684,22
42,1,836,0.836,22
42,1,1621,1.621,22
42,0,0,0,50
42,1,1782,1.782,22
42,1,1270,1.27,22
42,1,1502,1.502,22
42,0,0,0,22
42,1,1142,1.142,22
42,1,1423,1.423,22
42,0,0,0,40
42,1,1927,1.927,11
42,1,1399,1.399,11
42,1,80,0.08,11
42,1,3664,3.664,11
42,0,3368,3.368,11
42,1,1945,1.945,11
44,0,0,0,50
44,1,1300,1.3,22
44,1,1204,1.204,22
44,1,2332,2.332,22
44,1,1820,1.82,22
44,1,2149,2.149,22
44,1,1981,1.981,22
44,0,0,0,50
44,1,1142,1.142,22
